代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,預期現金股利,現金殖利率,股利發放率中位數
2890,永豐金,12390000,2985,375511218.6640927,,,,,7889738,7889738,7280259.0,,,,,25.4,2024-06-28,,,
2327,國巨,423200,2945,1364019720.5212357,12979739.0,22902546.0,22730465.0,17468846.0,6409333,4959147,5400494.0,4178580.0,0.3820683143166438,0.2358032159393981,0.1838316989995585,730.0,2024-06-28,4119210.0655500907,0.013333538550217815,0.2358032159393981
2379,瑞昱,512900,2918,1633879825.7065637,8793477.0,16852759.0,16204052.0,9152772.0,5617534,7149589,13847318.0,13847319.0,0.813055973194676,0.8216647493742716,0.854559032518533,546.0,2024-06-28,7520510.11145985,0.026854802189445817,0.8216647493742716
8069,元太,1144000,2861,1478000341.0852714,3602589.0,5150045.0,9911750.0,7814326.0,2268726,3062779,3649295.0,5131821.0,0.8501605373246851,0.708594779268919,0.5177512548238202,252.0,2024-06-28,5537190.607105374,0.019207149125545893,0.708594779268919
2912,統一超,1040000,2833,270223924.36293435,10238162.0,8861619.0,9281650.0,10613914.0,10473302,10653529,10706206.0,10590115.0,1.040570465675382,1.208154627275219,1.1409733183216346,273.5,2024-06-28,12110192.676960453,0.042575561373085546,1.1409733183216346
3017,奇鋐,383300,2833,6525779687.050193,1915846.0,2900627.0,4162261.0,5304713.0,459303,989268,1519234.0,1914941.0,0.5163609183619142,0.5237605524598647,0.4600723020492948,765.0,2024-06-28,2739146.476326385,0.009341465247025352,0.5163609183619142
3037,欣興,1525000,2783,3272929932.4942083,5461671.0,13222256.0,29618505.0,11980052.0,1601196,2054577,5015885.0,12190426.0,0.3761810259167936,0.3793516779587386,0.4115814083121346,180.0,2024-06-28,4544652.828232942,0.016556112306859532,0.3793516779587386
2615,萬海,2806000,2604,1200428799.3938224,,,,,1774638,2218298,25621336.0,14030731.0,,,,88.6,2024-06-28,,,
1101,台泥,7551000,2567,644027988.0501931,25099309.0,20256366.0,5404984.0,7997814.0,16479137,23014042,7627265.0,4061436.0,0.916919346265668,0.3765366897497804,0.751424241033831,34.2,2024-06-28,6009751.314879748,0.02327158292375878,0.751424241033831
2883,開發金,16830000,2567,603028101.8918918,,,,,8761068,16851631,,,,,,15.1,2024-06-28,,,
