代號,公司名稱,109季,110季,111季,112季
3665,貿聯-KY,"2,036,138","3,838,380","2,317,355"
3324,雙鴻,"1,111,383","1,132,673","1,263,555","1,231,843"
4763,材料-KY,"504,558","357,500","1,249,816","5,175,744"
3406,玉晶光,"3,055,708","2,296,634","3,273,566","3,072,720"
2809,京城銀
2855,統一證
2867,三商壽
1314,中石化,"680,989","3,603,208","233,114","-1,060,038"
1434,福懋,"2,095,548","2,143,167","3,404,981","444,554"
6257,矽格,"1,783,299","2,787,446","3,033,285","1,737,319"
2441,超豐,"3,158,170","1,997,124"
8070,長華*,"997,299","1,725,500","2,163,818","1,477,214"
6515,穎崴,"530,965","1,100,232","464,038"
8926,台汽電,"1,068,547","897,884","906,774","1,252,275"
6214,精誠,"1,666,345","1,213,916","1,091,229","1,494,266"
5534,長虹,"2,619,719","1,280,214"
6278,台表科6139
3481,群創
5483,中美晶
2360,致茂,"2,323,776","4,179,232","5,105,824","3,979,247"
2376,技嘉,"4,374,329","13,337,960","6,538,521","4,742,979"
2356,英業達,"7,547,985","6,537,765","6,128,786","6,130,732"
2801,彰銀
3533,嘉澤,"2,732,361","3,472,201","6,254,263","5,593,032"
2618,長榮航,"-3,361,639","6,608,496","7,091,299","21,594,425"
1402,遠東新,"8,062,699","9,684,584","8,160,292","8,229,199"
5347,世界,"6,305,520","11,819,588","15,280,388","7,370,074"
4966,譜瑞-KY,"3,505,796","5,244,507","4,898,319","2,033,134"
5508,永信建
2207,和泰車
2880,華南金
2890,永豐金
2379,瑞昱,"8,793,477","16,852,759","16,204,052","9,152,772"
2886,兆豐金
2884,玉山金
2885,元大金
2883,開發金
5871,中租-KY
2887,台新金
5876,上海商銀
5880,合庫金
2892,第一金
2801,彰銀
2474,可成,"21,129,820","8,575,044","10,902,179","9,151,193"
2888,新光金
2834,臺企銀
2347,聯強
2449,京元電子
2812,台中銀
2845,遠東銀
2838,聯邦銀
1560,中砂
2633,台灣高鐵
5274,信驊,"1,004,689","1,312,925","2,105,614","1,006,810"
3374,精材
5880,合庫金
2892,第一金
2867,三商壽
6515,穎崴,"530,965","486,629","1,100,232","464,038"
8926,台汽電,"1,068,547","897,884","906,774","1,252,275"
6214,精誠,"1,666,345","1,213,916","1,091,229","1,494,266"
5534,長虹,"2,619,719","1,280,214","2,852,343","1,836,036"
6278,台表科6139,"2,193,738","3,713,185","4,041,920","2,507,016"
5904,寶雅
5434,崇越,"2,068,350","2,294,458","3,018,478","2,835,024"
6781,AES-KY,"903,332","2,434,939","3,217,839","1,968,225"
