代號,公司名稱,109季,110季,111季,112季
2504,國產,"-413,643","-1,770,000","-2,124,000","-2,360,000"
6412,群電,"-1,241,072","-1,568,589","-2,056,020","-2,354,337"
3706,神達,"-1,070,961","-1,196,009","-2,395,106","-1,562,129"
1802,台玻,-87,"-1,454,149","-4,782,942","-448,300"
6139,亞翔,"-338,311","-225,541","-338,311","-789,393"
5904,寶雅,"-1,670,414","-1,826,710","-1,109,454","-2,442,151"
5434,崇越,"-1,181,047","-1,453,597","-1,598,956","-1,816,996"
3665,貿聯-KY,"-1,174,657","-1,082,724","-1,385,649","-1,564,463"
2637,慧洋-KY,"-1,033,735","-1,119,613","-4,105,251","-4,851,660"
1808,潤隆,"-616,661","-74,000","-784,393","-270,616"
2451,創見,"-1,930,778","-1,308,638","-2,574,370","-2,402,745"
4919,新唐,"-345,065","-311,733","-2,098,826","-2,938,357"
2548,華固,"-2,076,095","-1,937,689","-2,076,095","-2,076,095"
1210,大成,"-1,720,349","-2,111,337","-1,208,154","-1,268,561"
6147,頎邦,"-2,747,900","-2,551,788","-4,432,052","-4,062,715"
4915,致伸,"-1,076,876","-1,354,873","-1,411,230","-1,791,794"
6223,旺矽
2006,東和鋼鐵,"-1,355,482","-1,634,807","-4,673,368","-2,555,748"
2923,鼎固-KY,"-3,880,863","-2,088,356","-2,088,356","-1,044,178"
3376,新日興,"-727,018","-1,344,184","-962,426","-1,126,490"
2634,漢翔,"-1,120,822","-188,373","-329,653","-1,017,216"
1907,永豐餘,"-1,162,260","-2,490,557","-2,490,557"
6414,樺漢,"-331,678","-480,785","-742,259","-1,604,720"
2903,遠百,"-1,131,061","-1,556,294","-1,273,077","-1,556,870"
8996,高力,"-178,768","-151,953","-134,076","-134,076"
5508,永信建,"-391,588","-726,340","-1,740,751","-1,379,668"
8112,至上,"-1,016,716","-1,135,489","-1,713,986","-1,922,948"
1560,中砂,"-394,800","-396,113","-400,280","-576,239"
2363,矽統,"-192,262","-504,774","-545,156","-749,589"
4766,南寶,"-751,745","-861,339","-760,867","-1,264,062"
6643,M31,"-234,885","-248,856","-197,782","-253,584"
5903,全家,"-1,450,930","-1,674,150","-1,049,134","-1,450,930"
2015,豐興,"-1,744,798","-2,035,598","-2,907,997","-2,326,398"
3189,景碩,"-451,039","-450,847","-2,028,798","-3,438,175"
3030,德律,"-779,513","-779,513","-779,513","-1,062,972"
6213,聯茂,"-1,664,786","-1,664,786","-1,914,786","-1,088,872"
3680,家登,"-150,616","-406,630","-234,715","-683,351"
2458,義隆,"-1,894,375","-2,622,980","-3,930,593","-2,329,239"
2337,旺宏,"-2,205,564","-2,227,424","-3,337,236","-3,336,966"
2101,南港,"-882,453","-481,341",0,0
3374,精材,"-678,411","-814,093","-814,093"
2606,裕民,"-1,605,609","-1,014,081","-2,535,170","-2,535,220"
6274,台燿,"-1,221,000","-1,287,000","-1,347,000","-1,076,608"
2392,正崴,"-1,212,061","-1,280,818","-768,490","-1,127,119"
2530,華建,"-27,075",0,0,"-345,035"
1609,大亞,"-176,117","-205,811","-223,513","-339,205"
9933,中鼎,"-2,041,924","-2,066,848","-2,405,179","-2,267,317"
2855,統一證
1773,勝一,"-330,000","-628,000","-600,000","-900,000"
6605,帝寶,"-248,725","-232,143","-497,449","-829,082"
6548,長科*,"-437,957","-467,445","-888,535","-1,776,990"
3131,弘塑,"-228,172","-313,736","-484,865","-517,680"
3042,晶技,"-774,393","-1,177,077","-2,323,178","-2,168,299"
8210,勤誠,"-550,739","-483,644","-362,309","-482,528"
8415,大國鋼,"-1,444,100","-1,432,095","-1,856,700","-1,839,508"
3264,欣銓,"-616,211","-947,881","-1,326,974","-1,658,717"
6491,晶碩,"-175,000","-350,000","-595,000","-707,500"
3596,智易,"-979,876","-1,354,449","-1,478,345","-1,432,299"
1514,亞力,"-143,506","-151,682","-181,509","-240,553"
2362,藍天,"-248,906","-373,358","-1,228,952","-877,824"
2597,潤弘,"-607,500","-877,500","-1,664,550","-1,849,500"
4123,晟德
5534,長虹,"-1,280,215","-1,596,793"
6278,台表科,"-818,714","-964,914","-1,754,390","-2,046,788"
2607,榮運,"-320,142","-320,142","-426,856","-1,333,926"
8016,矽創,"-780,890","-899,368","-3,830,363","-2,629,679"
2329,華泰,"-82,849",0,"-733,916","-625,165"
3010,華立,"-763,587","-1,018,117","-1,604,922","-1,439,709"
8478,東哥遊艇,"-45,447","-89,972","-439,861","-879,723"
3260,威剛,"-311,159","-808,194","-1,421,581","-526,931"
3714,富采,"-1,365,881",0
6191,精成科,"-257,773","-412,438","-825,287","-1,233,188"
6670,復盛應用,"-1,048,240","-864,798","-1,572,360","-2,916,496"
1227,佳格,"-2,431,245","-2,304,554","-1,759,502","-1,171,862"
2867,三商壽
1314,中石化,"-985,455",0,"-1,513,940",0
1434,福懋,"-4,209,383","-1,684,507","-1,645,984","-2,470,288"
6257,矽格,"-927,360","-1,276,239"
3702,大聯大,"-4,144,804","-5,605,076","-6,276,699","-6,864,369"
6239,力成,"-3,484,785","-3,856,288","-5,086,309","-5,231,426"
4958,臻鼎-KY,"-4,060,034","-4,261,721","-4,735,246","-5,682,295"
2059,川湖,"-762,377","-583,218","-1,036,832","-1,905,941"
3044,健鼎,"-3,810,642","-3,863,203","-3,679,241","-3,915,764"
6781,AES-KY,"-145,231","-452,677","-1,281,282","-1,622,920"
6005,群益證,"-1,910,332","-2,650,236","-3,728,193","-1,122,599"
2889,國票金
2501,國建,"-1,159,561","-1,159,561","-695,737","-579,781"
3362,先進光,0
2498,宏達電
2308,台達電
2327,國巨
2379,瑞昱
