證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
3050,鈺德,2.36,112,30.72,1.31,113/1
3051,力特,2.99,112,19.79,2.21,113/1
3052,夆典,4.38,112,13.05,0.82,113/1
3054,立萬利,0.00,112,-,2.17,113/1
3055,蔚華科,1.19,112,-,4.02,113/1
3056,富華新,2.27,112,49.51,1.82,113/1
3057,喬鼎,0.00,111,-,1.77,113/1
3058,立德,0.00,111,-,1.97,113/1
3059,華晶科,1.63,112,33.08,1.33,113/1
3060,銘異,0.78,112,-,1.71,113/1
3062,建漢,0.00,111,-,1.67,113/1
3090,日電貿,4.93,112,17.99,2.48,113/1
3092,鴻碩,0.00,112,-,1.58,113/1
3094,聯傑,1.93,112,68.70,2.64,113/1
3130,一零四,5.79,112,17.45,4.46,113/1
3138,耀登,1.97,112,38.82,3.31,113/1
3149,正達,0.00,112,-,2.59,113/1
3164,景岳,2.03,112,35.65,1.61,113/1
3167,大量,0.87,112,238.75,2.22,113/1
3168,眾福科,5.57,112,17.84,2.81,113/1
3189,景碩,1.07,112,666.43,1.35,113/1
3209,全科,5.83,112,14.17,1.83,113/1
3229,晟鈦,0.00,111,-,2.20,113/1
3231,緯創,2.37,112,21.22,2.78,113/1
3257,虹冠電,4.94,112,17.20,3.27,113/1
3266,昇陽,2.77,112,11.58,1.55,113/1
3296,勝德,0.00,111,-,1.94,113/1
3305,昇貿,2.60,112,34.38,2.09,113/1
3308,聯德,0.00,111,30.16,1.67,113/1
3311,閎暉,2.98,112,22.27,1.02,113/1
3312,弘憶股,1.79,112,30.69,3.85,113/1
3321,同泰,0.00,111,-,3.44,113/1
3338,泰碩,2.30,112,26.80,3.83,113/1
3346,麗清,3.53,112,15.66,1.44,113/1
3356,奇偶,3.97,112,15.24,3.26,113/1
3376,新日興,1.71,112,43.97,2.74,113/1
3380,明泰,2.90,112,42.96,1.94,113/1
3406,玉晶光,2.17,112,15.90,2.94,113/1
3413,京鼎,3.92,112,14.03,2.50,113/1
3416,融程電,3.28,112,23.45,4.23,113/1
3419,譁裕,1.16,111,-,1.62,113/1
3432,台端,0.00,111,-,3.31,113/1
3437,榮創,0.00,111,-,1.61,113/1
3443,創意,0.87,112,66.46,20.76,113/1
3447,展達,0.00,112,-,2.34,113/1
3450,聯鈞,0.57,111,"1,458.33",3.28,113/1
3454,晶睿,2.63,112,34.82,3.51,113/1
3481,群創,0.00,112,-,0.54,113/1
3494,誠研,0.00,111,-,2.45,113/1
3501,維熹,4.38,112,13.43,1.25,113/1
3504,揚明光,0.00,111,-,2.41,113/1
3515,華擎,3.01,112,25.28,3.58,113/1
3518,柏騰,1.63,111,-,2.15,113/1
3528,安馳,3.05,112,28.58,1.86,113/1
3530,晶相光,0.00,111,-,3.38,113/1
3532,台勝科,2.82,112,23.20,2.87,113/1
3533,嘉澤,1.65,112,27.17,5.75,113/1
3535,晶彩科,0.00,112,-,2.10,113/1
3543,州巧,4.25,112,29.81,0.75,113/1
3545,敦泰,1.09,112,47.22,2.07,113/1
3550,聯穎,3.24,111,-,0.86,113/1
3557,嘉威,3.87,112,12.05,2.52,113/1
3563,牧德,1.89,112,72.32,4.52,113/1
3576,聯合再生,0.81,111,-,1.59,113/1
3583,辛耘,1.15,112,38.99,6.92,113/1
3588,通嘉,0.69,112,91.26,3.07,113/1
3591,艾笛森,1.80,112,63.18,1.35,113/1
3592,瑞鼎,3.63,112,17.37,3.00,113/1
3593,力銘,0.00,112,-,2.38,113/1
3596,智易,4.36,112,13.88,2.53,113/1
3605,宏致,1.11,111,-,1.24,113/1
3607,谷崧,3.85,112,-,1.22,113/1
3617,碩天,2.95,112,14.06,3.45,113/1
3622,洋華,3.24,112,13.96,1.36,113/1
3645,達邁,0.72,112,-,1.93,113/1
3652,精聯,1.08,112,50.47,1.35,113/1
3653,健策,1.01,112,55.54,12.80,113/1
3661,世芯-KY,0.80,112,58.02,6.93,113/1
3665,貿聯-KY,3.13,112,20.73,1.95,113/1
3669,圓展,2.45,112,17.56,1.49,113/1
3673,TPK-KY,1.35,111,67.36,0.39,113/1
3679,新至陞,5.21,112,12.24,1.89,113/1
3686,達能,0.00,112,-,2.09,113/1
3694,海華,1.98,112,21.44,2.48,113/1
3701,大眾控,1.30,112,35.33,2.87,113/1
3702,大聯大,4.06,112,17.29,1.79,113/1
3703,欣陸,4.08,112,18.94,1.12,113/1
3704,合勤控,3.69,112,17.77,1.49,113/1
3705,永信,4.16,112,15.98,2.10,113/1
3706,神達,2.84,112,23.68,0.93,113/1
3708,上緯投控,3.97,112,11.62,1.94,113/1
3711,日月光投控,3.26,112,21.82,2.37,113/1
3712,永崴投控,4.18,112,15.55,1.40,113/1
3714,富采,2.05,112,-,0.72,113/1
3715,定穎投控,2.43,112,14.41,2.52,113/1
4104,佳醫,4.78,112,19.17,1.68,113/1
4106,雃博,2.85,112,20.04,1.21,113/1
4108,懷特,0.00,112,-,2.01,113/1
4119,旭富,1.34,112,40.30,2.16,113/1
4133,亞諾法,2.21,112,32.88,1.55,113/1
4137,麗豐-KY,6.31,112,18.69,2.46,113/1
4142,國光生,0.00,111,-,2.22,113/1
4148,全宇生技-KY,1.96,112,25.58,1.45,113/1
4155,訊映,1.14,112,187.50,1.59,113/1
4164,承業醫,3.86,112,25.41,1.41,113/1
4190,佐登-KY,2.16,112,-,1.45,113/1
4306,炎洲,4.81,112,14.44,1.09,113/1
4414,如興,0.00,111,-,0.73,113/1
4426,利勤,0.00,111,-,1.11,113/1
4438,廣越,4.52,112,17.91,1.50,113/1
4439,冠星-KY,3.74,112,13.05,1.22,113/1
4440,宜新實業,4.01,112,24.46,1.33,113/1
4526,東台,0.85,112,-,1.18,113/1
4532,瑞智,3.51,112,15.92,1.46,113/1
4536,拓凱,4.10,112,12.74,2.19,113/1
4540,全球傳動,4.09,111,-,1.11,113/1
4545,銘鈺,2.42,112,24.18,1.65,113/1
4551,智伸科,2.27,112,23.97,1.58,113/1
4552,力達-KY,3.83,112,9.05,0.55,113/1
4555,氣立,0.78,112,-,1.58,113/1
4557,永新-KY,4.96,112,12.96,2.32,113/1
4560,強信-KY,2.69,112,28.84,1.42,113/1
4562,穎漢,0.00,112,-,3.30,113/1
4564,元翎,0.00,112,-,1.18,113/1
4566,時碩工業,1.76,112,22.19,1.86,113/1
4569,六方科-KY,4.27,112,20.65,1.29,113/1
4571,鈞興-KY,2.00,112,24.72,3.00,113/1
