代號,公司名稱,2023 第一季,2023 第二季,2023 第三季,2023 第四季,2024 第一季
2634.0,漢翔,285487.0,628518.0,1015469.0,1567285.0,318910.0
2637.0,慧洋-KY,66278.0,123342.0,157373.0,213692.0,49318.0
2801.0,彰銀,908.0,-2707.0,-11234.0,-12980.0,-61331.0
2809.0,京城銀,74509.0,105882.0,128978.0,168186.0,32201.0
2812.0,台中銀,-495.0,14.0,-466.0,-1373.0,-378.0
2834.0,臺企銀,-7935.0,-12093.0,-13269.0,-15335.0,-4176.0
2838.0,聯邦銀,-13757.0,-18157.0,-24483.0,1224309.0,-52879.0
2845.0,遠東銀,62830.0,127995.0,391498.0,475688.0,85946.0
2855.0,統一證,-144678.0,-39224.0,-72144.0,-60644.0,-326102.0
2867.0,三商壽,5369932.0,-5401180.0,-25523946.0,-946716.0,-14230810.0
2880.0,華南金,-2365.0,-2365.0,-2365.0,-2365.0,-6141.0
2881.0,富邦金,145464.0,154297.0,-389137.0,-592811.0,-238423.0
2882.0,國泰金,2027063.0,2961786.0,3232399.0,2987655.0,156283.0
2883.0,開發金,-9350657.0,11538353.0,721844.0,270947.0,-71106.0
2884.0,玉山金,30000.0,72755.0,107009.0,196628.0,41905.0
2885.0,元大金,-8289.0,-127693.0,-757114.0,-690387.0,-60896.0
2886.0,兆豐金,2.0,2.0,2.0,2.0,11324.0
2887.0,台新金,63982.0,2305084.0,5109774.0,750774.0,2106949.0
2888.0,新光金,3857.0,-793087.0,-2431574.0,-3555020.0,-646551.0
2889.0,國票金,-52131.0,-101436.0,-150298.0,-206675.0,-53595.0
2890.0,永豐金,20747.0,81533.0,-25023.0,1717933.0,31609.0
2891.0,中信金,149596.0,156098.0,157553.0,264106.0,925634.0
2892.0,第一金,-5980.0,-5980.0,-149879.0,-409275.0,0.0
2903.0,遠百,1652224.0,2981829.0,4107730.0,5500612.0,1217295.0
2912.0,統一超,3442437.0,6945285.0,10847817.0,13750476.0,3651667.0
2915.0,潤泰全,31970.0,62882.0,68897.0,65808.0,9545.0
2923.0,鼎固-KY,63709.0,1980816.0,3556957.0,5748493.0,101377.0
3005.0,神基,773640.0,1697183.0,2924290.0,3966563.0,0.0
3008.0,大立光,4512693.0,1881754.0,3085032.0,5986271.0,1602161.0
3010.0,華立,430777.0,1180011.0,1878887.0,2501555.0,558342.0
3017.0,奇鋐,627913.0,23628.0,2342622.0,3128895.0,976699.0
3023.0,信邦,1082632.0,2783625.0,3901095.0,5008867.0,1174013.0
3030.0,德律,360964.0,698229.0,1056484.0,1422269.0,409547.0
3034.0,聯詠,4416839.0,9513332.0,20355399.0,26661677.0,4893384.0
3035.0,智原,808221.0,1658753.0,2511555.0,3351382.0,883086.0
3036.0,文曄,2159728.0,4324432.0,7126691.0,10206341.0,2259098.0
3037.0,欣興,5944.0,7972.0,15569.0,95685.0,12639.0
3042.0,晶技,213560.0,446617.0,700519.0,950460.0,244096.0
3044.0,健鼎,586823.0,1139543.0,1785251.0,2476260.0,615412.0
3045.0,台灣大,4310507.0,8705986.0,13067974.0,18086412.0,4900799.0
3105.0,穩懋,920851.0,1882056.0,2731226.0,3524827.0,811103.0
3131.0,弘塑,155112.0,355462.0,529487.0,792971.0,214588.0
3189.0,景碩,1275940.0,2595418.0,4188170.0,17540.0,1568676.0
3231.0,緯創,4723422.0,10058887.0,16855256.0,27390257.0,7059420.0
3260.0,威剛,789619.0,1706357.0,2782062.0,3882978.0,1546523.0
3264.0,欣銓,824503.0,1586649.0,2594855.0,3405287.0,661069.0
3293.0,鈊象,1474991.0,2960163.0,4529715.0,6081947.0,1830858.0
3324.0,雙鴻,367035.0,753795.0,1202592.0,1628625.0,442066.0
3362.0,先進光,27006.0,105355.0,274563.0,569406.0,151584.0
3374.0,精材,82154.0,169293.0,264836.0,541708.0,88922.0
3376.0,新日興,160628.0,391197.0,646169.0,895940.0,254371.0
3406.0,玉晶光,-16979.0,-15946.0,2642985.0,3599822.0,7556.0
3443.0,創意,1102698.0,2040280.0,3142114.0,3968770.0,983364.0
3481.0,群創,-8610432.0,-13949865.0,-15534831.0,-18708934.0,-3171045.0
3529.0,力旺,300657.0,628522.0,998395.0,1357725.0,382143.0
3532.0,台勝科,238036.0,465840.0,697088.0,949049.0,232665.0
3533.0,嘉澤,1073430.0,-3544.0,-10772.0,4535113.0,1227292.0
3596.0,智易,874195.0,1381105.0,2207621.0,3164367.0,1102166.0
3653.0,健策,319156.0,1168472.0,1933829.0,2676962.0,657841.0
3661.0,世芯-KY,562243.0,1383502.0,2179530.0,3761272.0,759275.0
3665.0,貿聯-KY,2098831.0,4127578.0,3372676.0,8349633.0,2171510.0
3680.0,家登,289372.0,610568.0,1008079.0,1378570.0,394908.0
3702.0,大聯大,1941456.0,4407740.0,7371671.0,10394708.0,3252455.0
3706.0,神達,1192174.0,2074725.0,3248654.0,4422103.0,1251774.0
3711.0,日月光投控,7695574.0,17107741.0,28513083.0,40327707.0,7524951.0
3714.0,富采,653397.0,1328784.0,1965479.0,40327707.0,573847.0
4123.0,晟德,128498.0,37019.0,393032.0,539539.0,122651.0
4743.0,合一,-250460.0,-529946.0,-799037.0,-1096625.0,-260380.0
4763.0,材料-KY,643239.0,1907211.0,3716635.0,6048563.0,2227519.0
4766.0,南寶,784537.0,15375.0,379044.0,3526078.0,885018.0
4904.0,遠傳,185254.0,371504.0,598203.0,827426.0,234003.0
4915.0,致伸,1619389.0,3380849.0,5112432.0,6838317.0,1588031.0
4919.0,新唐,368357.0,6405973.0,9538261.0,12652470.0,3078060.0
4938.0,和碩,2823684.0,5897820.0,10294365.0,14752658.0,3023068.0
4958.0,臻鼎-KY,3856616.0,7867355.0,12875448.0,18299805.0,4594379.0
4966.0,譜瑞-KY,977885.0,2549.0,3009207.0,1966527.0,1111295.0
5269.0,祥碩,349216.0,102462.0,1039652.0,1389021.0,387897.0
5274.0,信驊,149743.0,305117.0,464628.0,212670.0,59731.0
5347.0,世界,1365294.0,3171032.0,4835987.0,511183.0,1233037.0
5371.0,中光電,663260.0,1417366.0,2145153.0,2901998.0,648879.0
5434.0,崇越,287685.0,537328.0,813302.0,528638.0,220422.0
5483.0,中美晶,1794135.0,3677270.0,5588417.0,8079809.0,4355479.0
5508.0,永信建,20851.0,69960.0,119486.0,218203.0,86625.0
5522.0,遠雄,12307.0,12307.0,24829.0,34878.0,0.0
5534.0,長虹,404035.0,789493.0,884936.0,6791715.0,331955.0
5871.0,中租-KY,881162.0,1908631.0,3118219.0,4133131.0,995159.0
5876.0,上海商銀,102734.0,165551.0,276134.0,58233.0,314.0
5880.0,合庫金,106686.0,-3837352.0,-12505365.0,1245069.0,-11472158.0
5903.0,全家,13700.0,868862.0,56097.0,84941.0,15195.0
5904.0,寶雅,1534724.0,3124598.0,4826423.0,3193290.0,1716099.0
6005.0,群益證,58949.0,2103041.0,1688661.0,2887473.0,212282.0
6121.0,新普,1735769.0,2199609.0,3510458.0,4726346.0,1054783.0
6139.0,亞翔,403539.0,764831.0,911003.0,1142919.0,405885.0
6147.0,頎邦,757638.0,1787078.0,2635090.0,3325994.0,125914.0
6176.0,瑞儀,705484.0,1539175.0,2448475.0,3296282.0,904080.0
6191.0,精成科,412668.0,954258.0,1388485.0,1846165.0,498111.0
6213.0,聯茂,541901.0,1064592.0,1575099.0,2110768.0,537616.0
6214.0,精誠,3153.0,834036.0,12302.0,44375.0,5104.0
6223.0,旺矽,939346.0,1973971.0,3098662.0,4250049.0,1025892.0
6239.0,力成,822338.0,1869938.0,3128863.0,4455409.0,1162488.0
6257.0,矽格,338771.0,711209.0,1137635.0,1500561.0,400020.0
6274.0,台燿,93224.0,173732.0,237845.0,310463.0,82624.0
6278.0,台表科,628564.0,1326035.0,2033657.0,2787164.0,0.0
6285.0,啟碁,1977741.0,1370.0,6606998.0,8923269.0,-90008.0
6409.0,旭隼,239724.0,483693.0,717616.0,933367.0,227717.0
6412.0,群電,821970.0,1810945.0,53489.0,3738747.0,891030.0
6414.0,樺漢,4230075.0,148690.0,6503068.0,199283.0,184783.0
6415.0,矽力*-KY,1529910.0,2993740.0,4767520.0,6579439.0,1991483.0
6446.0,藥華藥,390183.0,3045519.0,4881007.0,6408465.0,17585.0
6472.0,保瑞,1547439.0,2894216.0,1181084.0,5249139.0,892043.0
6488.0,環球晶,1448656.0,2982988.0,4519151.0,6382005.0,1200031.0
6491.0,晶碩,351882.0,266577.0,1207802.0,1687173.0,403966.0
6505.0,台塑化,2797614.0,5643813.0,8769519.0,11618107.0,2858276.0
6515.0,穎崴,51375.0,121421.0,158113.0,231882.0,78514.0
6531.0,愛普*,189412.0,242972.0,676722.0,902225.0,238893.0
6548.0,長科*,273509.0,543320.0,863838.0,-3055.0,274698.0
6592.0,和潤企業,1292294.0,5412173.0,3926438.0,5225934.0,1224813.0
6605.0,帝寶,598.0,1440364.0,2160965.0,2956709.0,711881.0
6643.0,M31,6258.0,131972.0,277937.0,446496.0,2708.0
6669.0,緯穎,1701962.0,3169765.0,4972314.0,6786731.0,1848559.0
6670.0,復盛應用,-4816.0,13723.0,2230.0,3041058.0,455.0
6781.0,AES-KY,264367.0,541320.0,1657183.0,210663.0,253327.0
8016.0,矽創,697795.0,1509642.0,2363945.0,3211129.0,846520.0
8046.0,南電,3165155.0,4609277.0,5639949.0,6329982.0,72660.0
8069.0,元太,1812453.0,3842734.0,5773446.0,7285477.0,833107.0
