代號,名稱,發行量(股),股價,日期
6515,穎崴,34800,1050.0,2024-06-28
8926,台汽電,730300,47.9,2024-06-28
6214,精誠,272300,124.5,2024-06-28
5534,長虹,290300,109.5,2024-06-28
6278,台表科,292400,120.0,2024-06-28
2607,榮運,1067000,31.75,2024-06-28
8016,矽創,120100,258.5,2024-06-28
2329,華泰,560300,58.9,2024-06-28
3010,華立,250799,142.0,2024-06-28
8478,東哥遊艇,88900,400.5,2024-06-28
3260,威剛,295900,108.0,2024-06-28
6191,精成科,474300,74.3,2024-06-28
