代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,平均股利發放率,預期現金股利,現金殖利率
2303,聯電,12530000,7054,3033443461.3706565,29189489,55780255,87198291,60989633,9765694,19871129,37445300.0,45014783.0,0.6807631678649805,0.6713002656585202,0.5162346931776449,55.7,2024-06-28,0.6227660422337152,37982272.36069679,0.05442202249351544
6505,台塑化,9526000,6278,195327470.84169886,7429609,49401403,14421560,21888842,27625058,5620656,36197781.0,10479310.0,0.7565211036004721,0.7327277931762384,0.7266419166858509,64.8,2024-06-28,0.7386302711541871,16167761.301711159,0.026191737268941598
2886,兆豐金,14400000,5696,707146163.7027028,,,,,20737777,19738829,17078169.0,15504538.0,,,,40.4,2024-06-28,,,
6669,緯穎,174800,4834,5237718501.324325,8609657,8648012,14174709,12043655,4021131,5594905,4371020.0,8742040.0,0.6498406382507457,0.5054363939365486,0.6167350596051037,2645.0,2024-06-28,0.5906706972641326,7113834.096458657,0.015386386162005635
1216,統一,5682000,4642,650442807.6679536,21542407,19879062,17168480,18336478,14205039,15341442,15341442.0,17898349.0,0.7121507824079268,0.7717387269077384,1.042512150172875,81.3,2024-06-28,0.84213388649618,15441769.482791703,0.03342760717968636
2884,玉山金,15660000,4503,547798906.945946,,,,,9191766,7665931,8947582.0,2855020.0,,,,28.55,2024-06-28,,,
2885,元大金,12690000,4061,506859065.6061776,,,,,14564923,18206154,10001247.0,,,,,32.05,2024-06-28,,,
1303,南亞,7931000,4021,465927045.5637066,25709049,81295023,32108977,6310050,17460662,19044329,59374150.0,23833140.0,0.7407636509619628,0.7303540586980337,0.7422578427210559,49.3,2024-06-28,0.7377918507936841,4655503.468100687,0.01190671025449647
3045,台灣大,3723000,4003,418343760.1158301,11286553,10988165,11025551,12274109,14005485,12869217,13429860.0,13966853.0,1.1402256295611246,1.2222113519409292,1.2667714293825316,107.0,2024-06-28,1.2097361369615285,14848433.206304729,0.03727381246232621
1301,台塑,6366000,3883,585890591.96139,20036199,71355311,36142868,7337709,28012404,15282289,52172634.0,26745324.0,0.7627339397058295,0.7311667942979044,0.7399889792918481,57.5,2024-06-28,0.7446299044318607,5463877.551418805,0.014926791928366196
5880,合庫金,14710000,3817,255506757.33204633,,,,,11334090,13600908,7004468.0,,,,,26.0,2024-06-28,,,
2892,第一金,13620000,3807,399316899.003861,,,,,13085040,12964159,10578754.0,,,,,28.1,2024-06-28,,,
3034,聯詠,608500,3736,2535919726.8339767,11817239,38865560,27969522,23317509,6389371,9492779,31338341.0,22514924.0,0.803299230894797,0.8063267581889981,0.8049806500089633,606.0,2024-06-28,0.8048688796975861,18767537.34616838,0.050894878511972524
2357,華碩,742800,3666,2401296066.216216,26557672,44549798,14690785,15928283,10398644,19311767,31195932.0,11141404.0,0.7271633974544154,0.7002485622942668,0.7583940545042351,498.0,2024-06-28,0.7286020047509725,11605378.926040834,0.031373147209302565
2002,中鋼,15730000,3658,655763069.9266409,885865,62053033,17783775,1681679,7915869,4778721,48872707.0,15759055.0,5.394412241142838,0.7875957811764012,0.8861479072918995,23.1,2024-06-28,2.3560519765370462,3962123.1318508433,0.010904035721443413
2207,和泰車,557100,3538,191756380.62934363,,,,,7646509,10935784,12916306.0,2964584.0,,,,622.0,2024-06-28,,,
2880,華南金,13640000,3486,292648292.93050194,,,,,6806523,3396434,10259126.0,8022828.0,,,,26.4,2024-06-28,,,
3008,大立光,133500,3363,1789642595.8069499,24534131,18671230,22625049,17902322,10597076,12273828,14635600.0,9676444.0,0.5002756364185061,0.7838583746223468,0.42768720633489016,2745.0,2024-06-28,0.570607072458581,10215191.546630848,0.02787551502324512
3231,緯創,2897000,3143,10638693731.988417,8681762,10468030,11162451,11471616,5681224,6258127,6257467.0,7400801.0,0.7208360468761986,0.5977693032977551,0.663008599097098,106.0,2024-06-28,0.6605379830903506,7577438.095426995,0.024675617898238893
2345,智邦,560600,3117,1854653049.2162163,5048353,4705059,8165812,8920165,3449054,3622184,3346320.0,4184543.0,0.7174981622719331,0.7112174363807128,0.5124466495187496,555.0,2024-06-28,0.6470540827237985,5771829.181819932,0.018551002888860815
2395,研華,860400,3111,406532015.3243243,7247955,8250224,10757077,10837530,5463198,5480813,6195710.0,7779770.0,0.7561875039235205,0.7509747614125386,0.7232234184063199,370.0,2024-06-28,0.743461894580793,8057290.586376182,0.025309694379660568
4904,遠傳,3606000,3090,426600805.8610039,8354128,9123795,9607895,11185918,10674577,10668650,10664586.0,10671112.0,1.2770512972748322,1.1688761091190671,1.110660763882203,84.1,2024-06-28,1.185529390092034,13261234.544159506,0.043728264176430436
4938,和碩,2664000,3077,946928435.7644788,20207598,20545643,15096180,15712958,12553366,13007325,15720440.0,13487770.0,0.6436848654649603,0.7651471409291011,0.8934558278981836,104.5,2024-06-28,0.7674292780974149,12058584.014715001,0.04331574642123583
1326,台化,5861000,3054,254155269.1853282,19544141,38359347,7359531,8548518,22267479,14657452,28130872.0,5587309.0,0.749966550077591,0.7333511699247643,0.7591936225283921,50.4,2024-06-28,0.7475037808435824,6390049.525609419,0.02163226359609193
2890,永豐金,12390000,2985,375511218.66409266,,,,,7889738,7889738,7280259.0,,,,,25.4,2024-06-28,,,
2327,國巨,423200,2945,1364019720.5212355,12979739,22902546,22730465,17468846,6409333,4959147,5400494.0,4178580.0,0.3820683143166438,0.23580321593939818,0.18383169899955853,730.0,2024-06-28,0.26723440975186685,4668276.749856261,0.015110821496543816
2379,瑞昱,512900,2918,1633879825.7065637,8793477,16852759,16204052,9152772,5617534,7149589,13847318.0,13847319.0,0.813055973194676,0.8216647493742716,0.854559032518533,546.0,2024-06-28,0.8297599183624936,7594603.347510518,0.02711937988008472
8069,元太,1144000,2861,1478000341.0852714,3602589,5150045,9911750,7814326,2268726,3062779,3649295.0,5131821.0,0.8501605373246851,0.708594779268919,0.5177512548238202,252.0,2024-06-28,0.6921688571391414,5408833.096732679,0.018761908566200046
2912,統一超,1040000,2833,270223924.36293435,10238162,8861619,9281650,10613914,10473302,10653529,10706206.0,10590115.0,1.040570465675382,1.208154627275219,1.1409733183216346,273.5,2024-06-28,1.1298994704240786,11992655.807726713,0.04216233936059173
3017,奇鋐,383300,2833,6525779687.050193,1915846,2900627,4162261,5304713,459303,989268,1519234.0,1914941.0,0.5163609183619142,0.5237605524598647,0.46007230204929483,765.0,2024-06-28,0.5000645909570246,2652699.136489411,0.009046649023152605
3037,欣興,1525000,2783,3272929932.4942083,5461671,13222256,29618505,11980052,1601196,2054577,5015885.0,12190426.0,0.3761810259167936,0.37935167795873864,0.4115814083121346,180.0,2024-06-28,0.389038037395889,4660695.917980695,0.016978855803208362
2615,萬海,2806000,2604,1200428799.3938224,,,,,1774638,2218298,25621336.0,14030731.0,,,,88.6,2024-06-28,,,
