"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"69",="2618","長榮航","市","06/14","36.15","-0.1","-0.28","10","540","540","1,952","35.2","24.6","有","有","有","有","","","航運業","林寶水","孫嘉明"
"70",="1402","遠東新","市","06/14","35.55","+0.8","+2.3","10","535","535.3","1,903","70.4","57.2","有","有","有","有","","","紡織纖維","徐旭東","吳高山,鄭澄宇"
"71",="00940","元大台灣價值高息","市","06/14","10.03","+0.03","+0.3","","","1,864","1,869","0.2","0.2","","","","","","","N/A","劉宗聖","陳沛宇"
"72",="5347","世界","櫃","06/14","110","-4.5","-3.93","10","164","163.9","1,803","29.5","26.2","有","","有","有","","","半導體業","方略","尉濟時"
"73",="5274","信驊","櫃","06/14","4740","+65","+1.39","10","3.78","3.78","1,793","19.6","11.1","有","","有","","","","半導體業","林鴻明","林鴻明"
"74",="2633","台灣高鐵","市","06/14","30","+0.2","+0.67","10","563","562.8","1,688","26.1","7.63","有","","","有","有","","航運業","江耀宗","鄭光遠"
"75","00937B","群益ESG投等債20+","櫃","06/14","16.03","+0.1","+0.63","","","1,039","1,666","0.5","0.53","","","有","","","","N/A","賴政昇","陳明輝"
"76",="3293","鈊象","櫃","06/14","1175","+60","+5.38","10","14.1","14.09","1,656","34.6","17.9","有","","有","","","","文化創意業","李柯柱","江順成"
"77",="5269","祥碩","市","06/14","2210","+165","+8.07","10","6.94","7.47","1,650","20.2","11.5","有","","有","","","","半導體業","徐世昌","林哲偉"
"78",="6446","藥華藥","市","06/14","482","-6","-1.23","10","34.1","34.09","1,643","24.1","7.91","","","","","有","","生技醫療業","詹青柳","黃正谷"
"79",="2105","正新","市","06/14","49.35","+0.6","+1.23","10","324","324.1","1,600","54.5","36.5","有","","有","有","","","橡膠工業","陳榮華","李進昌"
"80",="2383","台光電","市","06/14","462","+10.5","+2.33","10","34.4","34.43","1,591","32.2","27.5","有","","有","有","","","電子零組件業","董定宇","董定宇"
"81","00751B","元大AAA至A公司債","櫃","06/14","35.13","+0.27","+0.77","","","451.9","1,587","5.7","5.7","","","","","","","N/A","劉宗聖","陳沛宇"
"82",="6409","旭隼","市","06/14","1805","+35","+1.98","10","8.77","8.77","1,584","16.1","10.2","","","","","","","其他電子業","謝卓明","謝卓明"
"83","00687B","國泰20年美債","櫃","06/14","31.55","+0.4","+1.28","","","501.8","1,583","7.2","7.17","","","有","","","","N/A","張錫","張雍川"
"84",="9910","豐泰","市","06/14","160","+1","+0.63","10","98.7","98.75","1,580","52.9","32.3","","","","","","","運動休閒","王建弘","陳昭吉"
"85",="2324","仁寶","市","06/14","35.75","-0.1","-0.28","10","441","440.7","1,576","40","32.3","有","有","有","","","","電腦及週邊設備業","陳瑞聰","Anthony Peter Bonadero"
"86",="2474","可成","市","06/14","230.5","+2.5","+1.1","10","68","68.04","1,568","39.6","22.7","有","有","有","","","","其他電子業","洪水樹","洪天賜"
"87",="3653","健策","市","06/14","1080","+30","+2.86","10","14.1","14.29","1,543","37.2","14.6","有","","有","","","","電子零組件業","趙宗信","林錦隆"
"88",="2353","宏碁","市","06/14","49.8","-0.3","-0.6","10","305","304.8","1,518","47.9","27.7","有","有","有","","","","電腦及週邊設備業","陳俊聖","簡慧祥"
"89",="2377","微星","市","06/14","179.5","-3.5","-1.91","10","84.5","84.49","1,517","37.9","25.6","有","有","有","","","","電腦及週邊設備業","徐祥","黃金請"
"90",="1605","華新","市","06/14","37.25","+0.6","+1.64","10","403","403.1","1,502","57.5","51.6","有","有","有","有","","","電器電纜","焦佑倫","潘文虎"
"91",="1102","亞泥","市","06/14","41.8","+0.15","+0.36","10","355","354.7","1,482","67.2","62","有","","有","有","","","水泥工業","徐旭東","李坤炎"
"92","00720B","元大投資級公司債","櫃","06/14","35.82","+0.24","+0.67","","","412.7","1,478","6.4","6.37","","","","","","","N/A","劉宗聖","陳沛宇"
"93",="1476","儒鴻","市","06/14","535","-3","-0.56","10","27.4","27.44","1,468","46.5","23.2","有","","","","","","紡織纖維","王樹文","蔡俊嶔/陳坤鎕"
