"id","季度","營業利益損失","母公司業主淨利損","公司名稱"
1292,"2023 第一季","357,594","19,288","中石化"
1293,"2023 第二季","925,639","359,938","中石化"
1294,"2023 第三季","1,438,938","640,968","中石化"
1295,"2023 第四季","1,962,399","-205,314","中石化"
1296,"2024 第一季","488,855","329,216","中石化"
1297,"2023 第一季","4,226,154","0","南亞"
1298,"2023 第二季","9,778","5,567","南亞"
1299,"2023 第三季","13,329,235","0","南亞"
1300,"2023 第四季","17,242,451","7,919","南亞"
1301,"2024 第一季","4,259,637","8,743,289","南亞"
1302,"2023 第一季","3,449,803","-1,444,085","台塑"
1303,"2023 第二季","6,851,800","-301,874","台塑"
1304,"2023 第三季","10,339,854","5,805,896","台塑"
1305,"2023 第四季","13,854,977","-677,897","台塑"
1306,"2024 第一季","3,278,377","6,216,780","台塑"
1307,"2023 第一季","309,622","1,150,163","聯華"
1308,"2023 第二季","631,253","1,954,463","聯華"
1309,"2023 第三季","974,201","5,876,108","聯華"
1310,"2023 第四季","1,319,064","-80,507","聯華"
1311,"2024 第一季","325,238","5,370,610","聯華"
1312,"2023 第一季","38,685","33,435","佳格"
1313,"2023 第二季","85,482","-132,233","佳格"
1315,"2023 第四季","184,427","-21,719","佳格"
1316,"2024 第一季","47,019","249,627","佳格"
1317,"2023 第一季","35,902,284","68,552","統一"
1318,"2023 第二季","73,669,643","-5,547","統一"
1319,"2023 第三季","117,572,574","-34,211","統一"
1320,"2023 第四季","159,172,864","21,025","統一"
1321,"2024 第一季","43,033,510","-30,256","統一"
1322,"2023 第一季","2,142,769","761,814","大成"
1323,"2023 第二季","4,297,300","1,836,687","大成"
1324,"2023 第三季","6,442,070","3,115,566","大成"
1325,"2023 第四季","8,940,447","-347,085","大成"
1326,"2024 第一季","2,339,525","845,999","大成"
1327,"2023 第一季","299,315","2,687,792","亞泥"
1328,"2023 第二季","623,254","6,851,572","亞泥"
1329,"2023 第三季","953,904","9,557,190","亞泥"
1330,"2023 第四季","1,352,509","13,781,281","亞泥"
1331,"2024 第一季","330,259","2,948,055","亞泥"
1332,"2023 第一季","166,067","2,506,413","台泥"
1333,"2023 第二季","3,534,315","1,142,361","台泥"
1334,"2023 第三季","6,596,656","10,430,034","台泥"
1335,"2023 第四季","10,030,160","-840,826","台泥"
1347,"2023 第一季","926,905","749,359","豐泰"
1348,"2023 第三季","4,289,148","3,635,293","豐泰"
1349,"2023 第四季","2,677,760","-10,923","豐泰"
1350,"2023 第一季","13,409,549","-1,066,132","寶成"
1351,"2023 第二季","26,614,679","505,874","寶成"
1352,"2023 第三季","39,054,909","3,908,496","寶成"
1353,"2023 第四季","50,895,402","4,603,829","寶成"
1354,"2023 第一季","626,476","7","東哥遊艇"
1355,"2023 第二季","1,169,915","12.68","東哥遊艇"
1356,"2023 第三季","1,646,569","17.52","東哥遊艇"
1357,"2024 第一季","535,899","6.08","東哥遊艇"
1358,"2023 第三季","1,597","-11,518","富邦媒"
1359,"2024 第一季","289","11,651","富邦媒"
1360,"2023 第季","485","746,364","大國鋼"
1361,"2023 第二季","57","235,753","大國鋼"
1362,"2023 第四季","1,741","1,068","大國鋼"
1363,"2023 第二季","3,983,742","76,645","群聯"
1364,"2023 第三季","6,879,502","52,332","群聯"
1365,"2024 第一季","2,687,318","1,497,869","台泥"
1366,"2023 第三季","766,523","-95,537","佳格"
1367,"2023 第四季","199,808","43,762","士電"
1368,"2023 第三季","137,657","-968","亞力"
1369,"2023 第一季","29,162","1,798","中砂"
1370,"2023 第三季","2,150,962","-3","亞德客-KY"
1371,"2023 第四季","1,548,845","-10,981","大亞"
1372,"2023 第一季","240,131","124,635","台肥"
1373,"2023 第三季","9,326,850","44,759","潤隆"
1374,"2023 第一季","1,871,059","1,128,799","億豐"
1375,"2023 第二季","3,893,536","2,483,212","億豐"
1376,"2023 第三季","5,964,057","4,069,198","億豐"
1377,"2023 第四季","7,961,779","225,971","億豐"
1378,"2024 第一季","1,874,785","1,429,034","億豐"
1379,"2023 第一季","1,118","86,573","富世達"
1380,"2023 第三季","7,672","459,582","富世達"
1381,"2023 第一季","1,882,035","186,446","力積電"
1382,"2023 第二季","4,227,906","802,276","力積電"
1383,"2023 第三季","6,748,726","469,049","力積電"
1384,"2024 第一季","2,824,617","-439,771","力積電"
1385,"2023 第一季","479,367","393,956","洋基工程"
1386,"2024 第一季","450,246","402,661","洋基工程"
1387,"2023 第一季","598","448,477","帝寶"
1388,"2023 第二季","5,412,173","-30,327","和潤企業"
1389,"2023 第四季","-1,847,047","-1,576,694","北極星藥業-KY"
1390,"2023 第四季","-3,055","-57,968","長科*"
1391,"2023 第一季","1,201,983","-4,630","達發"
1392,"2024 第一季","1,569,392","8,610","達發"
1393,"2023 第一季","51,375","144,786","穎崴"
1394,"2023 第三季","158,113","407,054","穎崴"
1395,"2023 第三季","1,181,084","189,840","保瑞"
1396,"2023 第二季","3,045,519","-912,359","藥華藥"
1397,"2023 第三季","4,881,007","-520,850","藥華藥"
1398,"2023 第四季","6,408,465","102,037","藥華藥"
1399,"2023 第三季","6,503,068","-69,887","樺漢"
1400,"2023 第三季","53,489","31,810","群電"
1401,"2023 第二季","1,370","-153,406","啟碁"
1402,"2024 第一季","-90,008","317,105","啟碁"
1403,"2024 第一季","0","977,577","台表科"
1404,"2023 第三季","1,688,661","-120,254","群益證"
1405,"2023 第四季","3,193,290","24.41","寶雅"
1406,"2023 第二季","868,862","18,566","全家"
1407,"2023 第一季","106,686","5,036,635","合庫金"
1408,"2023 第四季","528,638","-68,110","崇越"
1409,"2023 第四季","511,183","3.48","世界"
1410,"2024 第一季","59,731","393,615","信驊"
1411,"2023 第二季","102,462","816,730","祥碩"
1412,"2023 第二季","2,549","910,826","譜瑞-KY"
1413,"2023 第二季","15,375","-629","南寶"
1414,"2023 第一季","319,156","50,578","健策"
1415,"2023 第四季","541,708","5.03","精材"
1416,"2024 第一季","-52,879","2,140,121","聯邦銀"
1417,"2023 第二季","385,567","17,261","長榮航太"
1418,"2023 第三季","584,952","36,329","長榮航太"
1419,"2024 第一季","155,062","1.36","長榮航太"
1420,"2023 第三季","4,307,186","6,846,184","萬海"
1421,"2023 第二季","1,533","287,815","潤弘"
1422,"2023 第一季","1,487,858","1,185,226","華固"
1423,"2023 第一季","2,198","0.52","愛山林"
1424,"2023 第二季","-693","1.59","愛山林"
1425,"2023 第三季","18,135","1.88","愛山林"
1426,"2023 第四季","69,941","1,507,668","愛山林"
1427,"2024 第一季","-32,600","1.53","愛山林"
1428,"2023 第一季","3,069","71,586","國產"
1429,"2024 第一季","824,697","151,413","國建"
1430,"2023 第二季","2,945,328","1,039,569","宏達電"
1431,"2023 第三季","4,530,930","1,286,925","宏達電"
1432,"2024 第一季","1,452,758","1,285,861","宏達電"
1433,"2024 第一季","1,031,778","-10,152","華新科"
1434,"2023 第四季","0","-744,256","可成"
1435,"2023 第二季","240,822","60,354","義隆"
1436,"2023 第三季","366,557","10,274","義隆"
1437,"2023 第三季","9,201","250,267","京元電子"
1438,"2023 第一季","-49,656","126,799","正崴"
1439,"2024 第一季","827,233","433,497","威盛"
1440,"2023 第一季","-4,332","40,891","微星"
1441,"2023 第一季","2,027,366","28,384","大同"
1442,"2023 第三季","6,779,111","284,126","大同"
1443,"2024 第一季","262,222","306,299","金像電"
1444,"2023 第一季","-2,360","254,105","藍天"
1445,"2023 第四季","1,757,322","-42","致茂"
1446,"2023 第二季","10,676,313","14,356,201","華碩"
1447,"2024 第一季","189,780","176,341","鴻準"
1448,"2023 第二季","22,913","-656,005","華邦電"
1449,"2024 第一季","6,951,326","380,042","仁寶"
1450,"2023 第三季","24,531,557","11,140,917","光寶科"
1451,"2023 第二季","1,128,152","-897,755","鴻華先進-創"
1452,"2023 第三季","1,759,305","-1,449,120","鴻華先進-創"
1453,"2023 第三季","288,755","87,896","南港"
1454,"2023 第三季","-4,718","36,207","美時"
1455,"2023 第一季","-27,643","0","鑽石投資"
1456,"2023 第三季","-1,466,865","0","鑽石投資"
1457,"2024 第一季","-813,062","0","鑽石投資"
1458,"2023 第二季","-1,466,865","0","鑽石投資"
1459,"2023 第四季","-2,601,750","0","鑽石投資"
1460,"2023 第一季","166,378","0","采鈺"
1461,"2023 第三季","524,446","0","采鈺"
1462,"2023 第四季","726,535","0","采鈺"
1463,"2024 第一季","201,038","0","采鈺"
1464,"2023 第二季","242,972","0","愛普*"
1465,"2024 第一季","1,330,976","0","達發"
1466,"2023 第二季","266,577","0","晶碩"
1467,"2023 第一季","390,183","0","藥華藥"
1468,"2023 第一季","1,534,724","0","寶雅"
1469,"2023 第二季","3,124,598","0","寶雅"
1470,"2023 第三季","4,826,423","0","寶雅"
1471,"2023 第一季","20,851","0","永信建"
1472,"2023 第二季","69,960","0","永信建"
1473,"2023 第三季","119,486","0","永信建"
1474,"2023 第四季","218,203","0","永信建"
1475,"2023 第三季","379,044","0","南寶"
1476,"2023 第二季","37,019","0","晟德"
1477,"2023 第一季","82,154","0","精材"
1478,"2023 第二季","169,293","0","精材"
1479,"2023 第二季","-1,466,865","0","鑽石投資"
1480,"2023 第四季","-2,601,750","0","鑽石投資"
1481,"2023 第二季","242,972","0","愛普*"
1482,"2024 第一季","1,330,976","0","達發"
1483,"2023 第二季","266,577","0","晶碩"
1484,"2023 第一季","390,183","0","藥華藥"
1485,"2024 第一季","1,716,099","0","寶雅"
1486,"2024 第一季","86,625","0","永信建"
1487,"2023 第二季","169,293","0","精材"
1488,"2023 第三季","264,836","0","精材"
1489,"2024 第一季","88,922","0","精材"
1490,"2023 第四季","1,224,309","0","聯邦銀"
1491,"2023 第一季","103,331","0","台灣高鐵"
1492,"2023 第二季","200,288","0","台灣高鐵"
1493,"2023 第三季","300,252","0","台灣高鐵"
1494,"2023 第四季","419,962","0","台灣高鐵"
1495,"2024 第一季","120,370","0","台灣高鐵"
1496,"2023 第三季","-29,956","0","長榮"
1497,"2023 第一季","724,700","0","櫻花建"
1498,"2023 第一季","636,462","0","宏達電"
1499,"2023 第一季","-4,856,745","0","友達"
1500,"2023 第二季","45,758","0","漢唐"
1501,"2023 第四季","71,456","0","漢唐"
1502,"2024 第一季","344,029","0","台光電"
1503,"2023 第一季","5,572,870","0","瑞昱"
1504,"2023 第二季","5,605,272","0","英業達"
1505,"2024 第一季","2,804,570","0","英業達"
1506,"2024 第一季","313,822","0","鴻準"
1507,"2023 第三季","1,563,703","0","宏碁"
1508,"2023 第二季","145,900","0","聯強"
1509,"2023 第二季","8,625,790","0","華邦電"
1510,"2023 第二季","-7,386","0","華泰"
1511,"2023 第二季","50,127,816","0","鴻海"
1512,"2023 第一季","582,435","0","華通"
1513,"2023 第三季","1,917,408","0","華通"
1514,"2023 第一季","444,721","0","鴻華先進-創"
1515,"2024 第一季","727,692","665","鴻華先進-創"
1516,"2023 第一季","-16,783","0","長榮鋼"
1517,"2023 第一季","2,018,289","0","大成鋼"
1518,"2023 第二季","1,134,879","0","中鋼"
1519,"2023 第四季","1,039,591","0","台玻"
1520,"2023 第一季","60,612","0","勝一"
1521,"2023 第三季","469,747","0","勝一"
1522,"2023 第一季","-193,661","-79,518","威盛"
1523,"2023 第二季","55,217","-386,946","正新"
