"id","季度","營業利益損失","母公司業主淨利損","公司名稱"
430,"2023 第四季","18,299,805","-1,253,016","臻鼎-KY"
431,"2024 第一季","4,594,379","6,409,429","臻鼎-KY"
432,"2023 第一季","2,823,684","-417,015","和碩"
433,"2023 第二季","5,897,820","1,777,617","和碩"
434,"2023 第三季","10,294,365","8,723,975","和碩"
435,"2023 第四季","14,752,658","219,669","和碩"
436,"2024 第一季","3,023,068","7,406,261","和碩"
437,"2023 第一季","368,357","671,601","新唐"
438,"2023 第二季","6,405,973","1,114,375","新唐"
439,"2023 第三季","9,538,261","1,713,535","新唐"
440,"2023 第四季","12,652,470","-440,774","新唐"
441,"2024 第一季","3,078,060","385,213","新唐"
442,"2023 第一季","1,619,389","554,882","致伸"
443,"2023 第二季","3,380,849","1,254,116","致伸"
444,"2023 第三季","5,112,432","1,990,712","致伸"
445,"2023 第四季","6,838,317","2,344,565","致伸"
446,"2024 第一季","1,588,031","24,109","致伸"
447,"2023 第一季","185,254","172,588","遠傳"
448,"2023 第二季","371,504","76,715","遠傳"
449,"2023 第三季","598,203","27,964","遠傳"
450,"2023 第四季","827,426","-50","遠傳"
451,"2024 第一季","234,003","-14,230","遠傳"
452,"2023 第一季","784,537","76,554","南寶"
455,"2023 第四季","3,526,078","-95,480","南寶"
456,"2024 第一季","885,018","912,655","南寶"
457,"2023 第一季","643,239","521,759","材料-KY"
458,"2023 第二季","1,907,211","1,600,638","材料-KY"
459,"2023 第三季","3,716,635","3,240,182","材料-KY"
460,"2023 第四季","6,048,563","5,175,744","材料-KY"
461,"2024 第一季","2,227,519","9,270","材料-KY"
462,"2023 第一季","-250,460","188,835","合一"
463,"2023 第二季","-529,946","97,484","合一"
464,"2023 第三季","-799,037","-261,416","合一"
465,"2023 第四季","-1,096,625","21,477","合一"
466,"2024 第一季","-260,380","-200,857","合一"
467,"2023 第一季","128,498","-1,678","晟德"
469,"2023 第三季","393,032","3,062","晟德"
470,"2023 第四季","539,539","1,804","晟德"
471,"2024 第一季","122,651","7,207","晟德"
472,"2023 第一季","653,397","5,030","富采"
473,"2023 第二季","1,328,784","4,278","富采"
474,"2023 第三季","1,965,479","5,095","富采"
475,"2023 第四季","40,327,707","31,725,403","富采"
476,"2024 第一季","573,847","896","富采"
477,"2023 第一季","7,695,574","5,817,165","日月光投控"
478,"2023 第二季","17,107,741","-747,208","日月光投控"
479,"2023 第三季","28,513,083","7,553,469","日月光投控"
480,"2023 第四季","40,327,707","-28,511","日月光投控"
481,"2024 第一季","7,524,951","9,736,581","日月光投控"
482,"2023 第一季","1,192,174","19,324","神達"
483,"2023 第二季","2,074,725","-5,430,788","神達"
484,"2023 第三季","3,248,654","-2,562,704","神達"
485,"2023 第四季","4,422,103","-62,004","神達"
486,"2024 第一季","1,251,774","-882,729","神達"
487,"2023 第一季","1,941,456","-5,494","大聯大"
488,"2023 第二季","4,407,740","7,533","大聯大"
489,"2023 第三季","7,371,671","4,594,032","大聯大"
490,"2023 第四季","10,394,708","-7,820","大聯大"
491,"2024 第一季","3,252,455","31,789","大聯大"
492,"2023 第一季","289,372","335,546","家登"
493,"2023 第二季","610,568","481,841","家登"
494,"2023 第三季","1,008,079","652,425","家登"
495,"2023 第四季","1,378,570","1,270,071","家登"
496,"2024 第一季","394,908","211,225","家登"
497,"2023 第一季","2,098,831","424,158","貿聯-KY"
498,"2023 第二季","4,127,578","-462,716","貿聯-KY"
499,"2023 第三季","3,372,676","1,809,479","貿聯-KY"
500,"2023 第四季","8,349,633","156,004","貿聯-KY"
501,"2024 第一季","2,171,510","-618,233","貿聯-KY"
502,"2023 第一季","562,243","-98,929","世芯-KY"
