代號,名稱,發行量(股),股價,日期,112季,dividend_per_share
6412,群電,399000,136.5,2024-06-28,2354337.0,5.900593984962406
3706,神達,1207000,44.3,2024-06-28,1562129.0,1.2942245236122618
5434,崇越,188700,275.0,2024-06-28,1816996.0,9.629019607843137
6781,AES-KY,85399,631.0,2024-06-28,1622920.0,19.003969601517582
6005,群益證,2171000,25.1,2024-06-28,1122599.0,0.5170884385076002
2637,慧洋-KY,746400,68.0,2024-06-28,4851660.0,6.50008038585209
1808,潤隆,451000,112.5,2024-06-28,270616.0,0.6000354767184035
2451,創見,429099,115.0,2024-06-28,2402745.0,5.599512000727105
4919,新唐,419799,128.0,2024-06-28,2938357.0,6.999437826197775
2548,華固,276800,136.5,2024-06-28,2076095.0,7.5003432080924854
1210,大成,894800,57.2,2024-06-28,1268561.0,1.417703397407242
6147,頎邦,744700,67.1,2024-06-28,4062715.0,5.455505572713845
4915,致伸,462900,94.2,2024-06-28,1791794.0,3.870801468999784
6223,旺矽,94200,530.0,2024-06-28,659618.0,7.0023142250530785
2006,東和鋼鐵,730200,69.6,2024-06-28,2555748.0,3.500065735414955
3376,新日興,187700,245.0,2024-06-28,1126490.0,6.001545018646777
2634,漢翔,941900,53.4,2024-06-28,1017216.0,1.0799617793821
1907,永豐餘,1660000,30.75,2024-06-28,,
2606,裕民,845100,55.8,2024-06-28,2535220.0,2.9999053366465507
6274,台燿,272000,162.5,2024-06-28,1076608.0,3.9581176470588235
6414,樺漢,137000,335.5,2024-06-28,1604720.0,11.713284671532847
8996,高力,89800,482.0,2024-06-28,134076.0,1.4930512249443206
8112,至上,520100,81.8,2024-06-28,1922948.0,3.6972659104018457
2363,矽統,749599,56.5,2024-06-28,749589.0,0.9999866595339642
2392,正崴,512299,79.0,2024-06-28,1127119.0,2.2001194614863584
1609,大亞,736800,55.8,2024-06-28,339205.0,0.46037595005428883
9933,中鼎,809200,53.0,2024-06-28,2267317.0,2.8019241225902127
6605,帝寶,165799,238.5,2024-06-28,829082.0,5.000524731753509
2501,國建,1160000,30.2,2024-06-28,579781.0,0.49981120689655173
6257,矽格,464600,76.8,2024-06-28,1918312.0,4.128953938872148
3131,弘塑,29200,1355.0,2024-06-28,517680.0,17.72876712328767
3042,晶技,309800,115.0,2024-06-28,2168299.0,6.9990284054228535
8210,勤誠,120600,301.0,2024-06-28,482528.0,4.00106135986733
3264,欣銓,490200,68.5,2024-06-28,1658717.0,3.3837556099551205
6491,晶碩,78000,479.0,2024-06-28,707500.0,9.070512820512821
3596,智易,220400,162.0,2024-06-28,1432299.0,6.4986343012704175
2362,藍天,632300,53.5,2024-06-28,877824.0,1.3883030207180136
8070,長華*,689400,45.35,2024-06-28,1666711.0,2.417625471424427
6515,穎崴,34800,1050.0,2024-06-28,754468.0,21.680114942528736
8926,台汽電,730300,47.9,2024-06-28,618501.0,0.8469135971518554
6214,精誠,272300,124.5,2024-06-28,1361517.0,5.000062431142123
5534,長虹,290300,109.5,2024-06-28,1596793.0,5.500492593868412
6278,台表科,292400,120.0,2024-06-28,2046788.0,6.999958960328318
8016,矽創,120100,258.5,2024-06-28,2629679.0,21.895745212323064
2329,華泰,560300,58.9,2024-06-28,625165.0,1.1157683383901482
3010,華立,250799,142.0,2024-06-28,1439709.0,5.740489395890733
3260,威剛,295900,108.0,2024-06-28,526931.0,1.780773910104765
6191,精成科,474300,74.3,2024-06-28,1233188.0,2.6000168669618384
