,length_fast,length_slow,return,drawdown,sharp
226,10,46,0.26026050751870716,5.09192061060101,-0.16466630040064548
215,10,35,0.2595436921688449,5.721908218847369,-0.13654217877930283
58,6,38,0.2591160383516619,4.938522277003664,-0.16283249365221572
21,5,41,0.2587267334859169,4.771291772163787,-0.16188635237583343
181,9,41,0.25352861156005785,5.0939983433495915,-0.15278887880194322
432,15,52,0.241195483814823,4.48206471762243,-0.20723847986913604
429,15,49,0.23958048896180162,4.920306672673483,-0.18599752560179497
557,18,57,0.23778752074500673,4.924339263987809,-0.2256485432097181
381,14,41,0.23638900762862924,5.12887974024905,-0.16833033880417617
59,6,39,0.23532479863019742,4.935464545176913,-0.15962589956280573
296,12,36,0.23337121464021954,4.824708687786186,-0.17416519755711762
558,18,58,0.23142403406519085,5.040771352157698,-0.22697952647628378
22,5,42,0.23069091411478454,5.132859111129281,-0.1715562665141669
123,8,23,0.22975609417444326,4.656446701862995,-0.23971797362736463
496,17,36,0.22806574300760102,5.371485367684814,-0.15878484331038417
148,8,48,0.22491518551788744,5.197108966755827,-0.1663284683064754
512,17,52,0.22430132181860823,5.0488187711270145,-0.17565527138241618
60,6,40,0.2235686757727606,4.94545089633498,-0.16159754320225364
415,15,35,0.22230522577646708,5.214959962645633,-0.16377551283960085
259,11,39,0.22101923192543416,5.009075995457432,-0.16513533593129157
394,14,54,0.21981858764978474,4.772786263103898,-0.21139204817027127
16,5,36,0.21474284090974902,5.004336489085401,-0.17405198311616712
51,6,31,0.20925622578072028,4.77121256923888,-0.18521008105478232
334,13,34,0.20873990511224974,5.064538810679398,-0.18410498742160164
143,8,43,0.2062984491451944,5.276866221878321,-0.1790604248224087
379,14,39,0.20352999912220557,5.291586176585105,-0.16977621686971558
270,11,50,0.1996264942530408,5.306839081656318,-0.15986042669543077
289,12,29,0.19785690358277708,5.4801590987566025,-0.15185948353591222
122,8,22,0.19772346540945562,4.71169850296776,-0.24655474590299528
418,15,38,0.19753348986685715,5.295350176788485,-0.17990072073689922
218,10,38,0.19282440560749226,5.260556120759508,-0.16907954192954475
176,9,36,0.19145521280700986,5.246716757320544,-0.17887581183058682
266,11,46,0.19001475881353017,5.417269756064066,-0.17515709232276477
87,7,27,0.18824987198416637,4.77121256923888,-0.1939501035893353
545,18,45,0.18700785235424708,5.324454416846522,-0.17871081101919536
466,16,46,0.18296108437274322,5.017677687512303,-0.1963954789002374
216,10,36,0.1824360746850586,5.246716757320544,-0.18130634061139198
544,18,44,0.18111895737866518,5.5456348276661895,-0.17971993195767838
502,17,42,0.17721344338069756,5.159824917655791,-0.19709975304251273
428,15,48,0.17698006062113428,5.02796091776219,-0.19747810599170354
310,12,50,0.17500930499073286,5.306839081656318,-0.16591633001734832
309,12,49,0.16634237293937104,5.32169587183361,-0.1673161454934141
178,9,38,0.1637950406409295,5.4356926614372645,-0.1836180955387137
138,8,38,0.15691117670507246,5.4356926614372645,-0.1854695117464409
367,14,27,0.15538908974297802,5.4801590987566025,-0.16186620376055638
517,17,57,0.15281255589211065,4.924339263987809,-0.2564588373036976
57,6,37,0.15123035659152512,5.384545593365269,-0.1812589482422463
420,15,40,0.14995461597116022,5.283695703813195,-0.1821250530939841
83,7,23,0.14959296244720588,4.77121256923888,-0.22027309047386515
150,8,50,0.1489330135293575,5.25076361544861,-0.17958399250496643
424,15,44,0.1488471970933737,4.87300240764137,-0.2133279925998551
55,6,35,0.14797309945993042,5.202989682109692,-0.18077126877785765
264,11,44,0.14738783121018564,5.502646198861365,-0.18408200316153386
518,17,58,0.14645446375532808,5.040771352157698,-0.25776893305823295
327,13,27,0.1449376362401374,5.4801590987566025,-0.1643550676878597
265,11,45,0.14367821455696542,5.309115173315349,-0.1840646092956879
550,18,50,0.1429279591233372,5.242062218992098,-0.1861470484482336
431,15,51,0.14083309455830142,4.755475422209401,-0.22676308391260927
380,14,40,0.13980588726705934,5.283695703813195,-0.1848015344674061
213,10,33,0.1393750588219448,5.538878819733334,-0.15392426802869852
340,13,40,0.1390140336504677,5.48432840517303,-0.1755720831252789
549,18,49,0.1354561683971273,5.254883236525435,-0.18740306869967874
308,12,48,0.1286649745641041,5.428420149231854,-0.17120316826894416
511,17,51,0.12478246469300798,5.31918964526703,-0.19284681911429818
88,7,28,0.12340147250693556,4.656446701862995,-0.22117731578299818
462,16,42,0.12086414533435023,5.159824917655791,-0.24149354722572028
503,17,43,0.11726676347719217,5.312368266585045,-0.20777891497543718
180,9,40,0.11375467122145601,5.252568374928233,-0.17914646585842334
107,7,47,0.1080590349770383,5.212638516015154,-0.19507006574763172
254,11,34,0.09482293781593783,5.949116364123053,-0.16402471228538704
140,8,40,0.09425285894200812,5.427719681854505,-0.1911818999971939
419,15,39,0.09044154690648534,5.291586176585105,-0.19813129966231507
219,10,39,0.08565478631308326,5.256932723998836,-0.18656176903480887
207,10,27,0.08401629750680999,5.316473686238881,-0.18741143647911665
220,10,40,0.08225569077076393,5.252568374928233,-0.18710398074223727
144,8,44,0.07935886447078512,5.273708190485334,-0.20071084167723868
326,13,26,0.07239545410774002,5.780312555698024,-0.16804094609265469
426,15,46,0.07092989466931884,5.017677687512303,-0.21130359950515135
505,17,45,0.0701356751528967,5.324454416846522,-0.2108200623723825
